no,Country,Region,population,birth rate per 1000,death rate per 1000,median age,labor force,unemployment (%),GDP per capita (US$),physician density (physicians/1000 population),Health expenditure (% of GDP),Total area,Land borders,Life expectancy at birth 1960,Life expectancy at birth 1970,Life expectancy at birth 1980,Life expectancy at birth 1990,Life expectancy at birth 2000,Life expectancy at birth 2010
1,Algeria,"Africa, N",41657488,21.5,4.3,28.3,11820000,11.7,15200,1.83,7.2,2381740,Yes,46.14,50.37,58.2,66.73,70.29,74.68
2,Egypt,"Africa, N",99413317,28.8,4.5,23.9,29950000,12.2,12700,0.79,5.6,1001450,Yes,48.06,52.16,58.34,64.58,68.61,70.36
3,Libya,"Africa, N",6754507,17.2,3.7,29.4,1114000,30,9600,2.16,5,1759540,Yes,42.61,56.05,64.19,68.52,70.47,71.64
4,Morocco,"Africa, N",34314130,17.5,4.9,29.7,12000000,10.2,8600,0.73,5.9,446550,Yes,48.46,52.57,57.56,64.73,68.72,74
5,Sudan,"Africa, N",43120843,34.2,6.7,17.9,11920000,19.6,4300,0.41,8.4,1861484,Yes,48.19,52.23,54.25,55.5,58.43,62.62
6,Tunisia,"Africa, N",11516189,17.4,6.4,32,4054000,15.5,11900,1.27,7,163610,Yes,42.02,51.15,62,68.79,73.16,74.79
7,Western Sahara,"Africa, N",619551,28.9,7.9,21.5,144000,NA,2500,NA,NA,266000,Yes,NA,NA,NA,NA,NA,NA
8,Angola,"Africa, S",30355880,43.7,9,15.9,12510000,6.6,6800,0.21,3.3,1246700,Yes,33.25,37.05,40.55,41.7,47.11,58.19
9,Benin,"Africa, S",11340504,34.5,7.7,18.4,3662000,1,2300,0.16,4.6,112622,Yes,37.27,42.15,47.19,53.81,55.39,59.32
10,Botswana,"Africa, S",2249104,21.7,9.5,24.9,1177000,20,17000,0.37,5.4,581730,Yes,50.66,54.61,60.73,61.91,49.03,59.87
11,Burkina Faso,"Africa, S",19742715,36.9,8.7,17.4,8501000,77,1900,0.06,5,274200,Yes,34.43,39.1,46.05,49.45,50.49,57.1
